티커,종목명,시장,타깃그룹,Sector,Industry,종가,시가총액,PBR,PER,ROE,BPS,DIV
006740,블루산업개발,KOSPI,일반,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,지관원지,라이나원지 제조",5030.0,29933000000.0,0.26245,,-22.279552683896622,19165.55534387502,9.543
092780,DYP,KOSPI,일반,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,4100.0,53990000000.0,0.26274,4.32,6.075061463414634,15604.780391261325,1.951
024800,유성티엔에스,KOSDAQ,일반,육상 여객 운송업,"운송,C형강,차량정비",4665.0,164326000000.0,0.26358,1.84,14.345758199356911,17698.611427270658,0.322
124560,태웅로직스,KOSDAQ,일반,기타 운송관련 서비스업,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)",1979.0,76628000000.0,0.26394,,-0.6268408287013644,7497.916193074183,6.569
240600,유진테크놀로지,KOSDAQ,일반,기타 금속 가공제품 제조업,이차전지 정밀금형 외,1243.0,10316000000.0,0.26399,,-14.059644408688657,4708.511686048714,
016670,디모아,KOSDAQ,일반,기타 전문 도매업,"h/w,s/w개발",2460.0,25077000000.0,0.26405,1.68,15.746396341463415,9316.417345199772,82.508
900100,파이온엑스,KOSDAQ,일반,자동차 부품 및 내장품 판매업,의류판매,1397.0,7370000000.0,0.26419,,-23.14735576234789,5287.861009122223,
053620,태양,KOSDAQ,일반,기타 금속 가공제품 제조업,"휴대용 부탄가스, 에어졸캔, 외주수탁품",6770.0,58222000000.0,0.26471,3.51,7.550295568685376,25575.157719768802,5.908
015750,성우하이텍,KOSDAQ,일반,자동차 신품 부품 제조업,자동차범퍼,5990.0,479200000000.0,0.26538,2.74,9.671528213689482,22571.407038962996,3.339
114920,대주이엔티,KONEX,일반,1차 철강 제조업,"이중보온관, 엘리베이터 가이드 레일",2795.0,9697000000.0,0.26575,,,10517.403574788335,0.894
025530,SJM홀딩스,KOSPI,일반,자동차 부품 및 내장품 판매업,지주회사및경영자문,3630.0,54210000000.0,0.26584,3.37,7.8873190082644635,13654.829972916039,6.887
000760,이화산업,KOSPI,일반,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",12860.0,36008000000.0,0.26584,,-0.8744192846034217,48374.9623833885,1.166
034810,해성산업,KOSDAQ,일반,기타 금융업,시설관리 용역 및 부동산 임대,5960.0,188217000000.0,0.26603,,-7.440805536912752,22403.488328384017,4.195
102940,코오롱생명과학,KOSDAQ,일반,기초 의약물질 제조업,"항균제, 수처리제, 원료의약 등",14000.0,183268000000.0,0.26616,5.17,5.148294857142857,52599.93988578299,0.953
003200,일신방직,KOSPI,일반,방적 및 가공사 제조업,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",12080.0,277356000000.0,0.26617,5.9,4.512550993377483,45384.528684675206,3.311
037560,LG헬로비전,KOSPI,일반,텔레비전 방송업,"케이블TV, 인터넷서비스 등",1570.0,121591000000.0,0.26685,,-0.9348248407643311,5883.455124601836,7.643
089470,HDC현대EP,KOSPI,일반,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",3850.0,122815000000.0,0.26694,3.81,7.009775064935066,14422.716715366749,4.156
002350,넥센타이어,KOSPI,일반,고무제품 제조업,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조",5560.0,543033000000.0,0.26748,3.76,7.119971223021583,20786.60086735457,3.597
061250,화일약품,KOSDAQ,일반,의약품 제조업,의약품 원료,6770.0,56987000000.0,0.26883,12.02,2.235617282127031,25183.20127961909,6.155
155660,DSR,KOSPI,일반,1차 비철금속 제조업,합섬섬유로프,4435.0,70960000000.0,0.26887,2.25,11.949104171364148,16494.960389779448,5.637
079960,동양이엔피,KOSDAQ,일반,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","휴대폰용,OA기기및통신장비용,디지털가전용전원공급장치",17180.0,129737000000.0,0.269,2.39,11.259481955762515,63866.17100371747,2.619
002070,비비안,KOSPI,일반,봉제의복 제조업,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대",4335.0,20815000000.0,0.26966,,-44.75049688581315,16075.79915449084,34.804
116100,태양기계,KONEX,일반,자동차 신품 부품 제조업,엔진부품,541.0,4025000000.0,0.27012,,,2002.8135643417738,4.621
036460,한국가스공사,KOSPI,일반,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",35900.0,3314036000000.0,0.27013,5.84,4.629080111420612,132898.9745678007,3.214
038950,파인디지털,KOSDAQ,일반,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기",3000.0,30632000000.0,0.27033,,-1.0813200000000003,11097.547442015313,1.667
